caseID,verbatim
1," SHE IS A REPRESENATIVES IN THE HOUSE OF CONGRESS, FROM THE DISTRICT OF SAN FRANSCO, AND IS CURRENTLY THE SPEAKER OF THE HOUSE "
3, //speaker of the house// 
4, HOUSE SPEAKER FOR U.S. CONGRESS OR SENATE 
7, SPEAKER OF THE HOUSE 
9, SHE IS ON THE SENATE 
11, SHE IS THE SPEAKER OF THE HOUSE 
13, Head of the House of Representatives 
16, speaker of the house 
18, don't know 
20, speaker of the house 
22, IR does recognize the name but does not have a guess as to what office she now holds. 
24, speaker of the house(friend knew not respondent 
28, congresswoman in Ca. 8th district// 
30, Secretary of State 
33, speaker of the house 
35, Speaker of the House 
36, no idea 
38, speaker of the house 
42, santa clause 
44, governor of Alaska 
46, mayor 
48, speaker of the house 
50, chief justice 
52, speaker of the house 
54, I don't know 
56, she's from arizona 
60, speaker of the house 
61, don't know 
63, don't know 
64, Senator 
67, speaker of the house 
72, speaker of the house 
75, i have no idea 
77, congress woman from san francisco and also speaker of the house 
78, speaker of the house 
79, secretary of the senate 
81, speaker of the house 
85," majority leader in congress, democrat "
89, SECRETARY OF STATE 
90, dk//dk her nor the jobs they have 
92, dk//someone in the senate 
94, dk//governor 
95, no answer// i'm not sure honestly 
96, house of representative member 
99, speaker of teh house 
103, i don't know 
106, speaker of the house 
107, congress 
109, she is a /i would say finance/ R really didnt know 
112, democratic 
114, R dosent know at all/i really cant even guess or know what to say/ 
116, speaker of the house 
120, haven't heard about her 
122, speaker of the house 
125, house of representatives 
126, speaker of the house 
127, press secty 
128, no idea 
131, speaker of the house 
132, senate 
134, no guess at all 
138, not even heard of her 
139, speaker of the house 
144, speaker of the house 
147, speaker of the house 
150, speaker of the house 
152, speaker of the house 
155, senate 
156, speaker of the house 
158, speaker of the house - congresswoman 
160, senentor 
161, don't know// 
163, dont know 
165, don't know//dk 
167, <RF> 
169, dk 
171, dk 
173, canada governor 
177, speaker of the house 
180, speaker of the house 
182," gavel in her hand, speaker of the house "
183, isn't she the head of the senate for the democratic party? the democratic leader of the congress? 
184, i don't even know who that is//i don't know  
185," don't know,// house of rep // wait , is she the speaker of the house?  yes i think she is speaker of the house of rep "
186,  iremember the name nancy but i don't remember what she holds// 
187, <RF> 
188, speaker of the house 
193, press secretary   
194, r said nothing comes to mind. 
196, specker of the house 
199, senate 
202, speaker of the house 
203, i don't know//speaker of the house 
206, d/k// 
208, dk//dk 
209, speaker of the house 
211, shes a 3rd in line for presidentspeaker 
214, i don't know//don't know 
215, he can't remember//no 
218, Don't know at all. 
220, dk// republican// dk 
221, dont know 
223," honestly i don't know//first time i've heard her name//nothing, she is probably in govt "
229, dk// 
230, house of rep/speaker of the house 
